Name,Market Cap (GBP$ Billion)
JPMorgan Chase,209.7
Industrial and Commercial Bank of China,185.172
Bank of America,174.509
Wells Fargo,165.222
China Construction Bank,138.072
HSBC Holdings PLC,117.616
Agricultural Bank of China,109.025
Citigroup Inc.,108.981
Bank of China,97.343
China Merchants Bank,65.769
Royal Bank of Canada,65.747
Banco Santander,62.063
Commonwealth Bank,60.196
Mitsubishi UFJ Financial Group,59.896
Toronto-Dominion Bank,58.174
BNP Paribas,55.391
Goldman Sachs,54.022
Sberbank of Russia,53.553
Morgan Stanley,53.45
U.S. Bancorp,50.719
HDFC Bank,47.437
Itaú Unibanco,46.236
Westpac,45.357
Scotiabank,42.347
ING Group,42.333
UBS,40.487
Charles Schwab,39.828
PNC Financial Services,38.751
Lloyds Banking Group,38.224
Sumitomo Mitsui Financial Group,36.115
Bank of Communications,35.983
Australia and New Zealand Banking Group,35.646
Banco Bradesco,34.767
National Australia Bank,34.218
Intesa Sanpaolo,33.273
Banco Bilbao Vizcaya Argentaria,32.548
Japan Post Bank,32.467
The Bank of New York Mellon,32.086
Shanghai Pudong Development Bank,31.537
Industrial Bank (China),30.783
Bank of China (Hong Kong),29.743
Bank of Montreal,28.527
Crédit Agricole,27.97
DBS Bank,27.611
Nordea,27.458
Capital One,27.414
NatWest Group,27.084
Mizuho Financial Group,26.828
Credit Suisse,25.993
Postal Savings Bank of China,25.722
China Minsheng Bank,25.707
UniCredit,25.627
China CITIC Bank,25.451
Hang Seng Bank,24.77
Société Générale,24.704
Barclays,24.594
Canadian Imperial Bank of Commerce,23.356
Bank Central Asia,23.254
Truist Financial,22.485
Oversea-Chinese Banking Corp,22.184
State Bank of India,21.76
State Street,21.335
Deutsche Bank,20.734
KBC Bank,20.595
Danske Bank,20.5
Ping An Bank,20.383
Standard Chartered,20.016
United Overseas Bank,18.845
QNB Group,18.002
Bank Rakyat,17.746
